index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
115946,4.419229267515204,1.01088,677.933,0.02918,0.0288659,5.92737,4.9743
4353,6.233038648928911,0.966013,751.654,0.03712,0.038426,5.95269,5.09552
108047,4.18711980096512,0.946227,737.873,0.02748,0.0290416,5.92606,4.86737
76842,7.333357759290551,0.816006,834.697,0.03254,0.0398772,6.54247,5.05193
16150,4.763517652246999,0.923941,794.527,0.0311,0.0336602,5.97682,4.56809
57098,4.358365559751322,0.876482,784.748,0.02612,0.029801,6.00679,4.38485
76924,6.567755787433421,0.900211,841.892,0.02694,0.0299263,6.12511,4.47354
98278,3.7621639221261534,0.864041,848.424,0.0283,0.0327531,6.53159,4.8386
39127,3.7445303928254763,0.937173,845.666,0.0351,0.0374531,6.34084,4.11308
60707,4.904404774129397,0.869058,950.894,0.03608,0.0415162,6.52678,4.82538
34679,5.499726287758237,0.924309,872.46,0.0354,0.0382989,6.27643,4.47731
108809,6.763483931722934,0.936583,862.468,0.03718,0.0396975,6.35109,5.10923
130074,3.492610039151432,0.867532,942.072,0.02732,0.0314916,6.32971,4.44661
10131,4.584954498009623,0.878873,912.705,0.0287,0.0326555,6.08841,4.27913
108041,7.239004440836038,0.944367,826.637,0.0293,0.0310261,6.03028,4.6922
38494,3.739041668783016,0.901719,930.333,0.03256,0.0361088,6.34329,4.28873
4313,4.03060067187851,0.969918,714.112,0.0338,0.0348483,5.84831,5.03308
65638,5.784771570885376,0.936886,790.356,0.0363,0.0387454,6.60112,5.10036
110504,6.045426973925115,0.975342,796.771,0.03562,0.0365205,6.38138,5.80138
18343,3.7026255573605567,0.959185,614.781,0.02588,0.0269813,6.78989,4.43184
71708,4.912057780673351,0.948236,843.878,0.03508,0.036995,6.44954,4.29953
130067,5.75942978180581,0.95502,811.696,0.03178,0.0332768,5.99511,4.59649
45625,6.708646545553075,1.00727,711.007,0.03166,0.0314316,6.4089,4.95946
68169,3.209614250904103,0.964212,793.579,0.02948,0.0305742,5.94473,4.33008
108055,3.397620770387736,0.96874,831.688,0.02976,0.0307203,6.0468,4.99736
25278,3.704252644022721,0.963561,802.144,0.02862,0.0297023,5.94547,4.44998
109094,3.009900256888097,1.03736,695.227,0.03638,0.0350696,6.32114,4.91461
77273,7.5119017707579365,0.997175,811.96,0.03814,0.038248,6.23823,4.98264
41655,3.4782770280178057,0.958616,879.476,0.03928,0.0409758,6.31523,4.93429
5976,6.330280054704515,0.947916,534.286,0.02032,0.0214365,5.60956,4.17247
84128,6.794433822342654,0.954199,887.136,0.03642,0.0381682,6.23813,4.21126
107284,4.560114969203127,0.988734,674.502,0.02402,0.0242937,5.79248,4.77882
42946,6.016155343576878,0.955293,520.885,0.01402,0.0146761,5.58533,4.53007
146379,4.266347512927629,0.944383,646.462,0.0182,0.0192718,5.70664,4.39474
76824,6.82508455186135,0.887751,931.304,0.03756,0.0423092,6.16528,4.88133
133447,3.502036836717318,0.91788,561.383,0.01788,0.0194797,5.61007,4.53384
108176,5.489997996328943,0.965397,837.709,0.03064,0.0317382,6.37588,5.07655
36968,3.682190786141155,0.882032,957.383,0.04634,0.0525378,6.42755,5.04331
5980,7.280339180145821,0.838894,980.397,0.02982,0.0355468,6.24526,4.39769
15750,6.763688236792903,0.99243,530.963,0.0168,0.0169281,5.6241,4.52926
36979,3.85695069691139,0.882325,945.348,0.04302,0.0487575,6.55002,5.13186
3430,5.410415609262708,0.878801,876.946,0.03806,0.043309,5.97071,5.42043
98942,6.20679243656527,0.93085,903.224,0.0424,0.0455497,6.45005,4.91428
38148,3.0613305877109833,0.940217,894.771,0.0346,0.0368,6.12213,4.36472
13178,4.99776144970971,0.896106,717.643,0.02364,0.0263808,5.72737,4.53416
92205,6.091621363526341,0.98961,834.981,0.0364,0.0367822,6.1637,4.76191
117935,2.9037848519987306,0.934343,599.798,0.0185,0.0198,5.63074,4.80573
56418,7.954842255412354,0.792037,1016.87,0.02818,0.0355791,6.1915,4.24712
47031,4.951913979323017,0.926404,933.344,0.0377,0.040695,6.19659,4.10353
41917,3.0219548603408017,0.784749,1086.57,0.0515,0.0656261,6.62405,5.49697
13183,5.710935417691395,0.853112,961.437,0.03564,0.0417765,6.66225,5.1352
84072,10.206889049029735,0.934909,927.686,0.04262,0.0455873,6.28618,5.18881
141034,4.0446846485369425,0.878315,973.371,0.04064,0.0462704,6.12765,4.62155
14238,4.947629681354999,0.880774,995.485,0.03488,0.0396015,6.30011,4.27943
13342,6.585460969374933,0.869393,1045.72,0.03844,0.0442148,6.24511,4.29548
108045,3.771107251762342,0.946779,913.864,0.03566,0.0376645,6.26259,5.50286
107811,4.508897783581905,0.937113,886.258,0.03876,0.0413611,6.03811,5.21163
146498,2.7831378735101913,0.883841,1030.48,0.04148,0.0469315,6.26146,5.59648
117943,4.295001413033202,0.871164,1039.65,0.04118,0.0472701,6.47388,4.81721
2982,2.8927694349703854,0.912524,964.068,0.03358,0.036799,6.11594,4.2529
4347,5.149707606106126,0.971847,810.54,0.03972,0.0408706,5.96794,5.07426
108609,7.309582066538256,0.891212,866.856,0.0311,0.0348963,5.90777,4.80872
35746,6.463233396936339,0.981036,815.636,0.038,0.0387346,6.01253,4.83695
103892,1.9348280168858298,1.29053,1442.8,0.26906,0.208487,14.35688,6.20379
107352,4.8745649506925135,0.980097,824.062,0.02722,0.0277728,6.03058,5.28034
4330,5.510890960095737,0.94931,809.387,0.03762,0.0396288,5.89833,4.91434
4317,4.3483596564325255,0.976647,798.014,0.03902,0.039953,5.93975,4.98644
4322,7.540002945618526,0.970553,829.69,0.03984,0.0410488,5.97405,5.02784
4316,7.646949722179475,0.974013,768.406,0.03722,0.038213,5.88382,4.97747
76500,6.080214431081745,0.868455,719.04,0.0172,0.0198053,5.70463,4.38435
4359,5.613639245861939,0.967116,800.369,0.03858,0.0398918,5.90525,5.04519
39155,5.840270555025646,0.909767,928.693,0.03094,0.0340087,5.96871,4.15326
71127,6.721181553052233,0.876121,827.241,0.0317,0.0361822,5.78372,5.18025
108078,4.616061684520445,0.94325,927.632,0.03232,0.0342645,6.05742,5.21236
5767,4.189829782197293,0.843486,884.521,0.02192,0.0259874,5.81691,4.34142
51588,6.442265840241501,0.895882,892.963,0.0316,0.0352725,5.8677,4.89754
65837,8.653441859804243,0.870618,760.764,0.02354,0.0270383,5.70486,4.24815
93412,5.452107485806666,0.841197,1052.93,0.03836,0.0456017,6.02735,5.08527
65866,10.382364167214876,0.859262,812.786,0.02548,0.0296534,5.69856,4.42326
108307,5.908767227601282,0.832507,996.741,0.02818,0.0338496,5.99542,4.26285
67764,4.003459139622909,0.864646,849.88,0.02124,0.024565,5.71579,4.38401
143225,2.7117525223529624,0.830958,1131.97,0.0464,0.0558392,5.99143,5.03049
47574,5.570003585280368,0.80463,1154.56,0.03754,0.046655,6.19439,4.70756
106940,5.647712167671086,0.928277,755.854,0.03486,0.0375535,5.76041,5.43786
86595,6.165696623071843,0.924042,750.882,0.02848,0.0308211,5.74077,4.70999
47315,4.648781787854439,0.872487,596.454,0.01346,0.0154272,5.44411,4.11574
21174,6.181847546315546,0.813526,1014.83,0.02722,0.0334593,5.84625,4.17293
77209,6.484375633716371,0.916227,828.196,0.02562,0.0279625,5.80209,4.12033
108064,2.7041797860487504,0.865414,855.741,0.0237,0.0273857,5.62766,4.75803
30124,3.965669984056894,0.852338,1079.11,0.0335,0.0393036,6.01231,4.23989
71120,13.100045597814036,0.93442,653.927,0.02334,0.024978,5.65051,4.42645
47483,8.355723344862897,0.851233,1084.59,0.03398,0.0399186,6.09659,4.60323
24884,-3.815177151029339,0.0950575,7284.78,0.84838,8.92491,50.3975,47.8329
4350,8.237530348768418,0.944311,756.806,0.03422,0.0362381,5.78135,5.04391
156686,-3.7761963407044803,0.110183,7838.95,0.80944,7.34629,34.58787,31.26138
423,-0.013313328597812634,0.203579,4730.76,0.74234,3.64645,42.66604,41.91128
130089,4.4451134307033175,0.912817,775.618,0.01978,0.0216692,5.72951,4.40801
115598,5.894795313987452,0.296626,3174.64,0.60756,2.04824,34.85961,34.35542
115904,-0.3721318352412086,0.749461,2320.67,0.49192,0.656365,26.23164,8.97115
156659,1.8810852799745406,0.454224,3000.38,0.56622,1.24657,27.45297,25.25816
115903,-1.7645600522511156,0.576598,3005.64,0.49456,0.857721,26.2956,9.06734
115552,2.5266282187415077,0.473548,3140,0.52934,1.11782,32.36037,28.26773
115553,3.321478852145299,0.500865,2933.51,0.50606,1.01037,31.7657,28.26773
114353,3.9269838856821426,0.55548,2475.61,0.5443,0.979873,33.36968,31.81617
114287,2.4867901193098776,0.462445,2878.21,0.54654,1.18185,33.05863,31.49051
140162,4.28274234288937,0.951963,534.384,0.00878,0.00922304,4.62186,4.18912
142352,4.026884567798528,0.927813,684.421,0.0109,0.0117481,4.67015,4.17297
112271,3.7808559862638433,0.923819,503.492,0.00802,0.00868136,4.88837,4.30343
114334,-0.13295647196177293,0.330751,4245.11,0.61494,1.85922,38.39634,36.09315
156994,-0.6456936579836007,0.208314,5102.41,0.71896,3.45133,33.00794,31.82818
117799,-3.951284281107522,0.0968692,8077.98,0.83112,8.57982,25.25905,23.35681
157034,-2.319792934846134,0.186529,6769.9,0.71456,3.83082,27.65962,25.54628
118872,-0.8805831930583443,0.898617,980.703,0.34064,0.379071,19.8442,19.44676
427,-0.9398381094922917,0.208114,5213.55,0.72548,3.48597,32.87055,30.37522
68264,4.599486464619705,0.863289,704.647,0.01668,0.0193215,5.46943,4.13311
110527,7.476775144037039,0.947084,328.916,0.00632,0.00667312,4.70593,4.1985
142480,3.446106547748407,0.893847,823.469,0.01452,0.0162444,4.91804,4.26386
3435,3.9338944973401175,0.840192,905.995,0.02636,0.0313738,5.55355,4.43103
51214,6.296533398744859,0.831297,952.223,0.02584,0.031084,5.58809,4.35967
110525,8.005781562974759,0.937168,275.907,0.006,0.00640227,4.89238,4.38642
108088,5.328774805809427,0.982631,288.271,0.00594,0.00604499,5.02533,4.39113
143612,4.128958488640139,0.933753,672.851,0.0156,0.0167068,5.00797,4.11754
140396,3.360329517533023,0.903054,760.107,0.0186,0.0205968,5.26902,4.1237
42945,8.694737779748321,0.9704,379.94,0.00598,0.00616241,5.24948,4.10165
36904,4.291344973773122,0.974673,482.549,0.00788,0.00808476,4.94632,4.121
47569,4.3404660300501074,0.938418,494.369,0.01454,0.0154942,5.30469,4.63884
140172,4.585104445453577,0.989673,544.91,0.00902,0.00911412,4.62117,4.18802
47886,5.622814901076555,0.941488,465.713,0.0121,0.012852,5.49766,4.34762
108059,6.506979063335212,0.949891,554.272,0.01106,0.0116434,5.19622,4.40674
47571,3.1819081325191987,0.994169,338.696,0.0088,0.00885161,5.37554,4.10019
107081,5.501957091045148,0.921416,596.643,0.0158,0.0171475,5.45172,4.10957
47379,5.039017602503815,0.990271,422.544,0.00976,0.00985589,5.09055,4.15644
144099,3.283591710216202,0.930964,656.873,0.01912,0.0205379,5.35497,4.43003
36886,3.255931691804908,0.964312,541.983,0.01248,0.0129419,5.32857,4.16695
63739,7.312876481570277,0.901804,774.383,0.0215,0.0238411,5.51746,4.48871
63953,7.7737114790876385,0.839123,1034.49,0.03126,0.0372532,5.51624,4.8323
86173,6.911026481798669,0.911163,829.354,0.01682,0.0184599,5.30784,4.14008
143141,2.68339528490921,0.896027,938.198,0.02552,0.0284813,5.316,4.48906
107858,4.332639504375776,0.944127,619.588,0.01486,0.0157394,5.30699,4.47675
146003,4.054409102860973,0.880967,992.784,0.02152,0.0244277,5.43697,4.2657
106972,3.7172026627620207,0.963928,513.673,0.0156,0.0161838,5.38566,4.47401
107351,6.683455545060884,0.981825,456.74,0.0104,0.0105925,5.38015,4.25583
36978,4.455818710741487,0.967075,701.681,0.01252,0.0129463,4.95864,4.2055
131847,2.9561993632644654,0.908624,818.149,0.03278,0.0360765,5.58835,5.09818
102023,2.792212636237801,0.909615,889.683,0.02762,0.0303645,5.4387,4.11688
49287,9.105277080482601,0.986476,552.262,0.01102,0.0111711,5.02385,4.20374
143339,4.043347938613344,1.02183,480.093,0.00966,0.00945364,4.70168,4.50283
146380,4.618867781648841,0.86376,1053.66,0.02634,0.0304946,5.45463,4.60416
